id_producto,producto,proveedor,categoria,lote,cantidad,descripcion
1,Martillo,MartTools Inc,Herramientas de Mano,LoteA,25,Martillo de garra de acero
2,Taladro,TechDrill Corp,Herramientas Eléctricas,LoteB,15,Taladro inalámbrico de 18V
3,Llave Inglesa,ToolCo,Herramientas de Mano,LoteC,30,Llave ajustable de 8 pulgadas
4,Sierra Circular,CutMaster,Herramientas Eléctricas,LoteD,12,Sierra circular con guía láser
5,Pala,EarthMovers,Herramientas de Jardín,LoteE,20,Pala de jardín resistente
6,Alicate,CraftGrip,Herramientas de Mano,LoteF,40,Alicate de corte diagonal de precisión
7,Cepillo Eléctrico,BrushTech,Herramientas Eléctricas,LoteG,8,Cepillo eléctrico para madera
8,Serrucho,SharpEdge,Herramientas de Mano,LoteH,18,Serrucho de carpintería de 20 pulgadas
9,Destornillador,DriveRight Co.,Herramientas de Mano,LoteI,50,Set de destornilladores Phillips y planos
10,Tijeras de Podar,GreenPrune,Herramientas de Jardín,LoteJ,10,Tijeras de podar con mangos ergonómicos
11,Martillo de Bola,MightyHammer,Herramientas de Mano,LoteK,22,Martillo de bola con mango de fibra de vidrio
12,Lijadora Orbital,SmoothFinish,Herramientas Eléctricas,LoteL,9,Lijadora orbital con bolsa para polvo
13,Cinta Métrica,MeasureMaster,Herramientas de Medición,LoteM,60,Cinta métrica de 5 metros
14,Desatornillador Eléctrico,QuickFix,Herramientas Eléctricas,LoteN,14,Desatornillador eléctrico recargable
15,Rastrillo,LeafRake,Herramientas de Jardín,LoteO,25,Rastrillo para hojas y jardinería
16,Sierra de Mano,HandSaw Co.,Herramientas de Mano,LoteP,30,Sierra de mano con mango ergonómico
17,Taladro de Impacto,ImpactPro,Herramientas Eléctricas,LoteQ,6,Taladro de impacto de alta potencia
18,Escoba,QuickSweep,Herramientas de Jardín,LoteR,35,Escoba de jardín de cerdas duras
19,Pinzas de Presión,SecureGrip,Herramientas de Mano,LoteS,28,Pinzas de presión con mecanismo de bloqueo
20,Cortacésped,GrassMaster,Herramientas de Jardín,LoteT,7,Cortacésped eléctrico de 1200W
